,ID,fq,comp,A,B,C,TMIN,TMAX
204,206,C5H10,3-METHYL-1-BUTENE,6.82618,1013.474,236.816,-63,41.0
205,207,C5H10,2-METHYL-2-BUTENE,6.91562,1095.088,232.842,-48,60.0
206,208,C5H10,CYCLOPENTANE,6.88676,1124.162,231.361,-40,72.0
207,209,C5H10BR2,"2,3-DIBROMO-2-METHYLBUTANE",7.36735,1695.9,207.0,81,218.0
208,210,C5H10O,VALERALDEHYDE,7.0192,1316.0,215.01,4,139.0
209,211,C5H10O,2-PENTANONE,6.95,1274.6,210.91,2,137.0
210,212,C5H10S,THIACYCLOHEXANE,6.90518,1422.47,211.72,29,170.0
211,213,C5H10S,CYCLOPENTANETHIOL,6.91497,1388.63,212.05,81,173.0
212,214,C5H11BR,1-BROMOPENTANE,6.9558,1401.634,214.38,41,173.0
213,215,C5H11CL,1-CHLOROPENTANE,6.96617,1332.89,218.5,24,148.0
214,216,C5H11CL,1-CHLORO-3-METHYLBUTANE,6.79527,1258.5,223.0,39,124.0
215,217,C5H11CL,2-CHLORO-2-METHYLBUTANE,6.95902,1258.5,223.0,7,123.0
216,218,C5H12,PENTANE,6.87632,1075.78,233.205,-50,58.0
217,219,C5H12,2-METHYLBUTANE(ISOPENTANE),6.83315,1040.73,235.445,-57,49.0
218,220,C5H12,"2,2-DIMETHYPROPANE",6.60427,883.42,227.782,-13,29.0
219,221,C5H12O,METHYL-TERT-BUTYL-ETHER,5.896,708.69,179.9,2,80.0
220,222,C5H12O,1-PENTANOL,7.1776,1314.56,168.16,37,138.0
221,223,C5H12O,TERT-PENTYL-ALCOHOL,7.8753,1604.7,208.16,55,133.0
222,224,C5H12S,BUTYL-METHYL-SULFIDE,6.94583,1363.808,212.074,17,150.0
223,225,C5H12S,ETHYL-PROPYL-SULFIDE,6.9338,1341.57,212.51,14,145.0
224,226,C5H12S,2-METHYL-2-BUTANETHIOL,6.82837,1254.885,218.759,-3,125.0
225,227,C5H12S,1-PENTANETHIOL,6.93311,1369.479,211.314,20,153.0
226,228,C6CL6,HEXACHLOROBENZENE,9.78602,4597.57,355.961,114,309.0
227,229,C6F6,HEXAFLUOROBENZENE,7.033,1227.98,215.5,-3,117.0
228,230,C6H4CL2,O-DICHLOROBENZENE,7.0703,1649.55,213.32,58,210.0
229,231,C6H4CL2,M-DICHLOROBENZENE,7.3037,1782.4,230.01,53,202.0
230,232,C6H4CL2,P-DICHLOROBENZENE,6.998,1575.11,208.52,54,204.0
231,233,C6H4F2,M-DIFLUOROBENZENE,7.06582,1310.27,222.58,36,114.0
232,234,C6H4F2,O-DIFLUOROBENZENE,7.02031,1310.271,222.587,31,130.0
233,235,C6H4F2,P-DIFLUOROBENZENE,7.08812,1310.27,222.58,34,112.0
234,236,C6H5BR,BROMOBENZENE,6.8606,1438.82,205.45,47,177.0
235,237,C6H5CL,CHLOROBENZENE,6.9781,1431.05,217.56,47,147.0
236,238,C6H5F,FLUOROBENZENE,7.187,1381.83,235.57,-23,97.0
237,239,C6H5I,IODOBENZENE,7.0119,1640.13,208.78,17,197.0
238,240,C6H6,BENZENE,6.90565,1211.033,220.79,-16,104.0
239,241,C6H6O,PHENOL,7.1345,1516.07,174.57,72,208.0
240,242,C6H6S,BENZENETHIOL,6.99019,1529.454,203.048,52,198.0
241,243,C6H7N,2-PICOLINE,7.0324,1415.73,211.58,79,169.0
242,244,C6H7N,3-PICOLINE,7.0502,1481.77,211.21,74,185.0
243,245,C6H7N,ANILINE,7.2418,1675.3,200.01,67,227.0
244,246,C6H10,1-HEXYNE,6.91212,1194.6,225.0,-8,118.0
245,247,C6H10,CYCLOHEXENE,6.8724,1221.9,223.18,27,87.0
246,248,C6H10,1-METHYLCYCLOPENTENE,6.86884,1199.6,225.0,-5,130.0
